Time (s),Potential 1 (V),Potential 2 (V)
67.9,0.808302808303,-0.021978021978
68,0.803418803419,-0.021978021978
68.1,0.808302808303,-0.026862026862
68.2,0.803418803419,-0.026862026862
68.3,0.808302808303,-0.021978021978
68.4,0.808302808303,-0.021978021978
68.5,0.808302808303,-0.026862026862
68.6,0.813186813187,-0.021978021978
68.7,0.803418803419,-0.021978021978
68.8,0.808302808303,-0.021978021978
68.9,0.803418803419,-0.021978021978
69,0.808302808303,-0.021978021978
69.1,0.803418803419,-0.026862026862
69.2,0.813186813187,-0.021978021978
69.3,0.808302808303,-0.021978021978
69.4,0.803418803419,-0.017094017094
69.5,0.808302808303,-0.021978021978
69.6,0.808302808303,-0.021978021978
69.7,0.813186813187,-0.026862026862
69.8,0.813186813187,-0.026862026862
69.9,0.837606837607,-0.017094017094
70,0.866910866911,-0.026862026862
70.1,0.866910866911,-0.021978021978
70.2,0.876678876679,-0.021978021978
70.3,0.871794871795,-0.026862026862
70.4,0.871794871795,-0.021978021978
70.5,0.871794871795,-0.026862026862
70.6,0.871794871795,-0.021978021978
70.7,0.876678876679,-0.021978021978
70.8,0.871794871795,-0.021978021978
70.9,0.871794871795,-0.026862026862
71,0.871794871795,-0.021978021978
71.1,0.876678876679,-0.021978021978
71.2,0.871794871795,-0.026862026862
71.3,0.881562881563,-0.017094017094
71.4,0.881562881563,-0.021978021978
71.5,0.886446886447,-0.021978021978
71.6,0.891330891331,-0.026862026862
71.7,0.896214896215,-0.026862026862
71.8,0.910866910867,-0.021978021978
71.9,0.940170940171,-0.026862026862
72,0.935286935287,-0.017094017094
72.1,0.935286935287,-0.021978021978
72.2,0.940170940171,-0.017094017094
72.3,0.935286935287,-0.021978021978
72.4,0.935286935287,-0.021978021978
72.5,0.940170940171,-0.021978021978
72.6,0.935286935287,-0.026862026862
72.7,0.940170940171,-0.021978021978
72.8,0.940170940171,-0.026862026862
72.9,0.935286935287,-0.026862026862
73,0.940170940171,-0.021978021978
73.1,0.935286935287,-0.021978021978
73.2,0.940170940171,-0.021978021978
73.3,0.940170940171,-0.021978021978
73.4,0.930402930403,-0.026862026862
73.5,0.940170940171,-0.026862026862
73.6,0.935286935287,-0.021978021978
73.7,0.935286935287,-0.026862026862
73.8,0.940170940171,-0.021978021978
73.9,0.935286935287,-0.026862026862
74,0.935286935287,-0.026862026862
74.1,0.935286935287,-0.021978021978
74.2,0.930402930403,-0.021978021978
74.3,0.940170940171,-0.026862026862
74.4,0.940170940171,-0.026862026862
74.5,0.930402930403,-0.021978021978
74.6,0.935286935287,-0.021978021978
74.7,0.935286935287,-0.021978021978
74.8,0.935286935287,-0.026862026862
74.9,0.935286935287,-0.021978021978
75,0.940170940171,-0.026862026862
75.1,0.935286935287,-0.031746031746
75.2,0.940170940171,-0.017094017094
75.3,0.940170940171,-0.026862026862
75.4,0.940170940171,-0.026862026862
75.5,0.949938949939,-0.021978021978
75.6,0.945054945055,-0.021978021978
75.7,0.945054945055,-0.026862026862
75.8,0.969474969475,-0.021978021978
75.9,1.01343101343,-0.026862026862
76,1.00854700855,-0.021978021978
76.1,1.01831501832,-0.021978021978
76.2,1.01343101343,-0.021978021978
76.3,1.01343101343,-0.026862026862
76.4,1.01831501832,-0.026862026862
76.5,1.01343101343,-0.017094017094
76.6,1.01831501832,-0.021978021978
76.7,1.01343101343,-0.021978021978
76.8,1.01831501832,-0.021978021978
76.9,1.00854700855,-0.026862026862
77,1.01831501832,-0.021978021978
77.1,1.01343101343,-0.026862026862
77.2,1.01343101343,-0.021978021978
77.3,1.01343101343,-0.026862026862
77.4,1.01343101343,-0.026862026862
77.5,1.01343101343,-0.021978021978
77.6,1.01343101343,-0.021978021978
77.7,1.01343101343,-0.017094017094
77.8,1.00854700855,-0.031746031746
77.9,1.01831501832,-0.017094017094
78,1.01831501832,-0.017094017094
78.1,1.00854700855,-0.026862026862
78.2,1.01343101343,-0.021978021978
78.3,1.01831501832,-0.021978021978
78.4,1.00854700855,-0.021978021978
78.5,1.01343101343,-0.026862026862
78.6,1.01343101343,-0.017094017094
78.7,1.01831501832,-0.026862026862
78.8,1.01831501832,-0.026862026862
78.9,1.05738705739,-0.021978021978
79,1.08180708181,-0.026862026862
79.1,1.08180708181,-0.021978021978
79.2,1.08180708181,-0.021978021978
79.3,1.08180708181,-0.026862026862
79.4,1.08180708181,-0.021978021978
79.5,1.08669108669,-0.021978021978
79.6,1.08180708181,-0.026862026862
79.7,1.08180708181,-0.021978021978
79.8,1.08669108669,-0.01221001221
79.9,1.08180708181,-0.026862026862
80,1.08180708181,-0.021978021978
80.1,1.08669108669,-0.021978021978
80.2,1.07692307692,-0.026862026862
80.3,1.08669108669,-0.021978021978
80.4,1.07692307692,-0.026862026862
80.5,1.08669108669,-0.021978021978
80.6,1.07692307692,-0.026862026862
80.7,1.08669108669,-0.026862026862
80.8,1.08669108669,-0.021978021978
80.9,1.08180708181,-0.021978021978
81,1.115995116,-0.026862026862
81.1,1.1452991453,-0.026862026862
81.2,1.15506715507,-0.026862026862
81.3,1.15995115995,-0.021978021978
81.4,1.15506715507,-0.021978021978
81.5,1.15995115995,-0.021978021978
81.6,1.15506715507,-0.021978021978
81.7,1.15506715507,-0.026862026862
81.8,1.15506715507,-0.021978021978
81.9,1.15506715507,-0.021978021978
82,1.15506715507,-0.026862026862
82.1,1.15995115995,-0.026862026862
82.2,1.15995115995,-0.021978021978
82.3,1.15506715507,-0.021978021978
82.4,1.15995115995,-0.017094017094
82.5,1.1746031746,-0.026862026862
82.6,1.21367521368,-0.021978021978
82.7,1.21855921856,-0.026862026862
82.8,1.23321123321,-0.021978021978
82.9,1.22344322344,-0.026862026862
83,1.23321123321,-0.021978021978
83.1,1.23321123321,-0.026862026862
83.2,1.22344322344,-0.026862026862
83.3,1.22832722833,-0.021978021978
83.4,1.22832722833,-0.026862026862
83.5,1.22832722833,-0.021978021978
83.6,1.22832722833,-0.021978021978
83.7,1.23321123321,-0.021978021978
83.8,1.22832722833,-0.021978021978
83.9,1.23321123321,-0.021978021978
84,1.24297924298,-0.021978021978
84.1,1.25763125763,-0.026862026862
84.2,1.2673992674,-0.017094017094
